"","ano","mes","ppm"
"1",1959,"jan",315.42
"2",1959,"fev",316.31
"3",1959,"mar",316.5
"4",1959,"abr",317.56
"5",1959,"mai",318.13
"6",1959,"jun",318
"7",1959,"jul",316.39
"8",1959,"ago",314.65
"9",1959,"set",313.68
"10",1959,"out",313.18
"11",1959,"nov",314.66
"12",1959,"dez",315.43
"13",1960,"jan",316.27
"14",1960,"fev",316.81
"15",1960,"mar",317.42
"16",1960,"abr",318.87
"17",1960,"mai",319.87
"18",1960,"jun",319.43
"19",1960,"jul",318.01
"20",1960,"ago",315.74
"21",1960,"set",314
"22",1960,"out",313.68
"23",1960,"nov",314.84
"24",1960,"dez",316.03
"25",1961,"jan",316.73
"26",1961,"fev",317.54
"27",1961,"mar",318.38
"28",1961,"abr",319.31
"29",1961,"mai",320.42
"30",1961,"jun",319.61
"31",1961,"jul",318.42
"32",1961,"ago",316.63
"33",1961,"set",314.83
"34",1961,"out",315.16
"35",1961,"nov",315.94
"36",1961,"dez",316.85
"37",1962,"jan",317.78
"38",1962,"fev",318.4
"39",1962,"mar",319.53
"40",1962,"abr",320.42
"41",1962,"mai",320.85
"42",1962,"jun",320.45
"43",1962,"jul",319.45
"44",1962,"ago",317.25
"45",1962,"set",316.11
"46",1962,"out",315.27
"47",1962,"nov",316.53
"48",1962,"dez",317.53
"49",1963,"jan",318.58
"50",1963,"fev",318.92
"51",1963,"mar",319.7
"52",1963,"abr",321.22
"53",1963,"mai",322.08
"54",1963,"jun",321.31
"55",1963,"jul",319.58
"56",1963,"ago",317.61
"57",1963,"set",316.05
"58",1963,"out",315.83
"59",1963,"nov",316.91
"60",1963,"dez",318.2
"61",1964,"jan",319.41
"62",1964,"fev",320.07
"63",1964,"mar",320.74
"64",1964,"abr",321.4
"65",1964,"mai",322.06
"66",1964,"jun",321.73
"67",1964,"jul",320.27
"68",1964,"ago",318.54
"69",1964,"set",316.54
"70",1964,"out",316.71
"71",1964,"nov",317.53
"72",1964,"dez",318.55
"73",1965,"jan",319.27
"74",1965,"fev",320.28
"75",1965,"mar",320.73
"76",1965,"abr",321.97
"77",1965,"mai",322
"78",1965,"jun",321.71
"79",1965,"jul",321.05
"80",1965,"ago",318.71
"81",1965,"set",317.66
"82",1965,"out",317.14
"83",1965,"nov",318.7
"84",1965,"dez",319.25
"85",1966,"jan",320.46
"86",1966,"fev",321.43
"87",1966,"mar",322.23
"88",1966,"abr",323.54
"89",1966,"mai",323.91
"90",1966,"jun",323.59
"91",1966,"jul",322.24
"92",1966,"ago",320.2
"93",1966,"set",318.48
"94",1966,"out",317.94
"95",1966,"nov",319.63
"96",1966,"dez",320.87
"97",1967,"jan",322.17
"98",1967,"fev",322.34
"99",1967,"mar",322.88
"100",1967,"abr",324.25
"101",1967,"mai",324.83
"102",1967,"jun",323.93
"103",1967,"jul",322.38
"104",1967,"ago",320.76
"105",1967,"set",319.1
"106",1967,"out",319.24
"107",1967,"nov",320.56
"108",1967,"dez",321.8
"109",1968,"jan",322.4
"110",1968,"fev",322.99
"111",1968,"mar",323.73
"112",1968,"abr",324.86
"113",1968,"mai",325.4
"114",1968,"jun",325.2
"115",1968,"jul",323.98
"116",1968,"ago",321.95
"117",1968,"set",320.18
"118",1968,"out",320.09
"119",1968,"nov",321.16
"120",1968,"dez",322.74
"121",1969,"jan",323.83
"122",1969,"fev",324.26
"123",1969,"mar",325.47
"124",1969,"abr",326.5
"125",1969,"mai",327.21
"126",1969,"jun",326.54
"127",1969,"jul",325.72
"128",1969,"ago",323.5
"129",1969,"set",322.22
"130",1969,"out",321.62
"131",1969,"nov",322.69
"132",1969,"dez",323.95
"133",1970,"jan",324.89
"134",1970,"fev",325.82
"135",1970,"mar",326.77
"136",1970,"abr",327.97
"137",1970,"mai",327.91
"138",1970,"jun",327.5
"139",1970,"jul",326.18
"140",1970,"ago",324.53
"141",1970,"set",322.93
"142",1970,"out",322.9
"143",1970,"nov",323.85
"144",1970,"dez",324.96
"145",1971,"jan",326.01
"146",1971,"fev",326.51
"147",1971,"mar",327.01
"148",1971,"abr",327.62
"149",1971,"mai",328.76
"150",1971,"jun",328.4
"151",1971,"jul",327.2
"152",1971,"ago",325.27
"153",1971,"set",323.2
"154",1971,"out",323.4
"155",1971,"nov",324.63
"156",1971,"dez",325.85
"157",1972,"jan",326.6
"158",1972,"fev",327.47
"159",1972,"mar",327.58
"160",1972,"abr",329.56
"161",1972,"mai",329.9
"162",1972,"jun",328.92
"163",1972,"jul",327.88
"164",1972,"ago",326.16
"165",1972,"set",324.68
"166",1972,"out",325.04
"167",1972,"nov",326.34
"168",1972,"dez",327.39
"169",1973,"jan",328.37
"170",1973,"fev",329.4
"171",1973,"mar",330.14
"172",1973,"abr",331.33
"173",1973,"mai",332.31
"174",1973,"jun",331.9
"175",1973,"jul",330.7
"176",1973,"ago",329.15
"177",1973,"set",327.35
"178",1973,"out",327.02
"179",1973,"nov",327.99
"180",1973,"dez",328.48
"181",1974,"jan",329.18
"182",1974,"fev",330.55
"183",1974,"mar",331.32
"184",1974,"abr",332.48
"185",1974,"mai",332.92
"186",1974,"jun",332.08
"187",1974,"jul",331.01
"188",1974,"ago",329.23
"189",1974,"set",327.27
"190",1974,"out",327.21
"191",1974,"nov",328.29
"192",1974,"dez",329.41
"193",1975,"jan",330.23
"194",1975,"fev",331.25
"195",1975,"mar",331.87
"196",1975,"abr",333.14
"197",1975,"mai",333.8
"198",1975,"jun",333.43
"199",1975,"jul",331.73
"200",1975,"ago",329.9
"201",1975,"set",328.4
"202",1975,"out",328.17
"203",1975,"nov",329.32
"204",1975,"dez",330.59
"205",1976,"jan",331.58
"206",1976,"fev",332.39
"207",1976,"mar",333.33
"208",1976,"abr",334.41
"209",1976,"mai",334.71
"210",1976,"jun",334.17
"211",1976,"jul",332.89
"212",1976,"ago",330.77
"213",1976,"set",329.14
"214",1976,"out",328.78
"215",1976,"nov",330.14
"216",1976,"dez",331.52
"217",1977,"jan",332.75
"218",1977,"fev",333.24
"219",1977,"mar",334.53
"220",1977,"abr",335.9
"221",1977,"mai",336.57
"222",1977,"jun",336.1
"223",1977,"jul",334.76
"224",1977,"ago",332.59
"225",1977,"set",331.42
"226",1977,"out",330.98
"227",1977,"nov",332.24
"228",1977,"dez",333.68
"229",1978,"jan",334.8
"230",1978,"fev",335.22
"231",1978,"mar",336.47
"232",1978,"abr",337.59
"233",1978,"mai",337.84
"234",1978,"jun",337.72
"235",1978,"jul",336.37
"236",1978,"ago",334.51
"237",1978,"set",332.6
"238",1978,"out",332.38
"239",1978,"nov",333.75
"240",1978,"dez",334.78
"241",1979,"jan",336.05
"242",1979,"fev",336.59
"243",1979,"mar",337.79
"244",1979,"abr",338.71
"245",1979,"mai",339.3
"246",1979,"jun",339.12
"247",1979,"jul",337.56
"248",1979,"ago",335.92
"249",1979,"set",333.75
"250",1979,"out",333.7
"251",1979,"nov",335.12
"252",1979,"dez",336.56
"253",1980,"jan",337.84
"254",1980,"fev",338.19
"255",1980,"mar",339.91
"256",1980,"abr",340.6
"257",1980,"mai",341.29
"258",1980,"jun",341
"259",1980,"jul",339.39
"260",1980,"ago",337.43
"261",1980,"set",335.72
"262",1980,"out",335.84
"263",1980,"nov",336.93
"264",1980,"dez",338.04
"265",1981,"jan",339.06
"266",1981,"fev",340.3
"267",1981,"mar",341.21
"268",1981,"abr",342.33
"269",1981,"mai",342.74
"270",1981,"jun",342.08
"271",1981,"jul",340.32
"272",1981,"ago",338.26
"273",1981,"set",336.52
"274",1981,"out",336.68
"275",1981,"nov",338.19
"276",1981,"dez",339.44
"277",1982,"jan",340.57
"278",1982,"fev",341.44
"279",1982,"mar",342.53
"280",1982,"abr",343.39
"281",1982,"mai",343.96
"282",1982,"jun",343.18
"283",1982,"jul",341.88
"284",1982,"ago",339.65
"285",1982,"set",337.81
"286",1982,"out",337.69
"287",1982,"nov",339.09
"288",1982,"dez",340.32
"289",1983,"jan",341.2
"290",1983,"fev",342.35
"291",1983,"mar",342.93
"292",1983,"abr",344.77
"293",1983,"mai",345.58
"294",1983,"jun",345.14
"295",1983,"jul",343.81
"296",1983,"ago",342.21
"297",1983,"set",339.69
"298",1983,"out",339.82
"299",1983,"nov",340.98
"300",1983,"dez",342.82
"301",1984,"jan",343.52
"302",1984,"fev",344.33
"303",1984,"mar",345.11
"304",1984,"abr",346.88
"305",1984,"mai",347.25
"306",1984,"jun",346.62
"307",1984,"jul",345.22
"308",1984,"ago",343.11
"309",1984,"set",340.9
"310",1984,"out",341.18
"311",1984,"nov",342.8
"312",1984,"dez",344.04
"313",1985,"jan",344.79
"314",1985,"fev",345.82
"315",1985,"mar",347.25
"316",1985,"abr",348.17
"317",1985,"mai",348.74
"318",1985,"jun",348.07
"319",1985,"jul",346.38
"320",1985,"ago",344.51
"321",1985,"set",342.92
"322",1985,"out",342.62
"323",1985,"nov",344.06
"324",1985,"dez",345.38
"325",1986,"jan",346.11
"326",1986,"fev",346.78
"327",1986,"mar",347.68
"328",1986,"abr",349.37
"329",1986,"mai",350.03
"330",1986,"jun",349.37
"331",1986,"jul",347.76
"332",1986,"ago",345.73
"333",1986,"set",344.68
"334",1986,"out",343.99
"335",1986,"nov",345.48
"336",1986,"dez",346.72
"337",1987,"jan",347.84
"338",1987,"fev",348.29
"339",1987,"mar",349.23
"340",1987,"abr",350.8
"341",1987,"mai",351.66
"342",1987,"jun",351.07
"343",1987,"jul",349.33
"344",1987,"ago",347.92
"345",1987,"set",346.27
"346",1987,"out",346.18
"347",1987,"nov",347.64
"348",1987,"dez",348.78
"349",1988,"jan",350.25
"350",1988,"fev",351.54
"351",1988,"mar",352.05
"352",1988,"abr",353.41
"353",1988,"mai",354.04
"354",1988,"jun",353.62
"355",1988,"jul",352.22
"356",1988,"ago",350.27
"357",1988,"set",348.55
"358",1988,"out",348.72
"359",1988,"nov",349.91
"360",1988,"dez",351.18
"361",1989,"jan",352.6
"362",1989,"fev",352.92
"363",1989,"mar",353.53
"364",1989,"abr",355.26
"365",1989,"mai",355.52
"366",1989,"jun",354.97
"367",1989,"jul",353.75
"368",1989,"ago",351.52
"369",1989,"set",349.64
"370",1989,"out",349.83
"371",1989,"nov",351.14
"372",1989,"dez",352.37
"373",1990,"jan",353.5
"374",1990,"fev",354.55
"375",1990,"mar",355.23
"376",1990,"abr",356.04
"377",1990,"mai",357
"378",1990,"jun",356.07
"379",1990,"jul",354.67
"380",1990,"ago",352.76
"381",1990,"set",350.82
"382",1990,"out",351.04
"383",1990,"nov",352.69
"384",1990,"dez",354.07
"385",1991,"jan",354.59
"386",1991,"fev",355.63
"387",1991,"mar",357.03
"388",1991,"abr",358.48
"389",1991,"mai",359.22
"390",1991,"jun",358.12
"391",1991,"jul",356.06
"392",1991,"ago",353.92
"393",1991,"set",352.05
"394",1991,"out",352.11
"395",1991,"nov",353.64
"396",1991,"dez",354.89
"397",1992,"jan",355.88
"398",1992,"fev",356.63
"399",1992,"mar",357.72
"400",1992,"abr",359.07
"401",1992,"mai",359.58
"402",1992,"jun",359.17
"403",1992,"jul",356.94
"404",1992,"ago",354.92
"405",1992,"set",352.94
"406",1992,"out",353.23
"407",1992,"nov",354.09
"408",1992,"dez",355.33
"409",1993,"jan",356.63
"410",1993,"fev",357.1
"411",1993,"mar",358.32
"412",1993,"abr",359.41
"413",1993,"mai",360.23
"414",1993,"jun",359.55
"415",1993,"jul",357.53
"416",1993,"ago",355.48
"417",1993,"set",353.67
"418",1993,"out",353.95
"419",1993,"nov",355.3
"420",1993,"dez",356.78
"421",1994,"jan",358.34
"422",1994,"fev",358.89
"423",1994,"mar",359.95
"424",1994,"abr",361.25
"425",1994,"mai",361.67
"426",1994,"jun",360.94
"427",1994,"jul",359.55
"428",1994,"ago",357.49
"429",1994,"set",355.84
"430",1994,"out",356
"431",1994,"nov",357.59
"432",1994,"dez",359.05
"433",1995,"jan",359.98
"434",1995,"fev",361.03
"435",1995,"mar",361.66
"436",1995,"abr",363.48
"437",1995,"mai",363.82
"438",1995,"jun",363.3
"439",1995,"jul",361.94
"440",1995,"ago",359.5
"441",1995,"set",358.11
"442",1995,"out",357.8
"443",1995,"nov",359.61
"444",1995,"dez",360.74
"445",1996,"jan",362.09
"446",1996,"fev",363.29
"447",1996,"mar",364.06
"448",1996,"abr",364.76
"449",1996,"mai",365.45
"450",1996,"jun",365.01
"451",1996,"jul",363.7
"452",1996,"ago",361.54
"453",1996,"set",359.51
"454",1996,"out",359.65
"455",1996,"nov",360.8
"456",1996,"dez",362.38
"457",1997,"jan",363.23
"458",1997,"fev",364.06
"459",1997,"mar",364.61
"460",1997,"abr",366.4
"461",1997,"mai",366.84
"462",1997,"jun",365.68
"463",1997,"jul",364.52
"464",1997,"ago",362.57
"465",1997,"set",360.24
"466",1997,"out",360.83
"467",1997,"nov",362.49
"468",1997,"dez",364.34
